name,logt,logt_erl,logt_erh,B,B_erl,B_erh,t_sec,t_90
bn120426090,0.965692255,0.908004483,0.457339714,0.009710594,0.006598416,0.103155339,3,2.688
bn120624309,-0.668706397,0.523940881,1.61658297,0.411693026,0.408471014,1.088116215,0.8,0.64
bn120707800,0.97191709,0.609810489,0.488528204,1.047500252,1.029947304,0.452299929,37.5,40.96
bn130310840,0.005054504,0.980677992,0.27767308,1.345128234,1.330198927,0.154239283,1,16
bn130320560,1.182769909,2.679875627,0.29681705,0.042296122,0.239073287,1.456387122,38,340.992
bn130427324,0.965523587,0.463671162,0,0.010631126,0,0.023076103,33,138.242
bn130502327,-0.362091029,0.065592043,1.428124083,0.288994878,0.285563782,0.458382631,33.5,24.32
bn130504978,0.447072029,0.74035252,0.271930509,0.024511206,0.010884757,0.579870461,78,73.217
bn130518580,0.886476787,0.787694655,0.357497931,0.028487189,0.014013758,1.465224765,52,48.577
bn130606497,0.227560171,0.212624377,0.290474487,0.108288008,0.066942241,0.527261646,61.5,52.225
bn131014215,1.003740046,0.508771756,0.007883324,0.010270266,0.000449472,0.026744982,6,3.2
bn131028076,0.707539631,0.622376413,0.548413304,0.038941104,0.028007279,0.737926918,20,17.152
bn131214705,-0.062606387,0.047807066,0.238943381,-0.199955538,2.01E-05,0.059704025,29.5,80.065
bn131231198,0.856004184,0.0412248,0.237725596,0.196189782,0.125186371,0.124128905,61.5,31.232
bn140102887,0.009749186,0.594261003,0.46488698,1.069730188,0.943740199,0.42853368,4.499989986,3.648
bn140209313,-0.171635004,0.040128848,0.23983997,0.302791478,0.224087489,0.269715514,1.5,1.408
bn140329295,0.064102225,0.185931472,0.913426131,0.110802059,0.102262865,0.282037035,10,21.248
bn140416060,-0.291276626,0.180520595,0.933669403,0.185669721,0.170776641,1.312666203,31.5,31.744
bn140508128,1.052926223,1.795447755,0.318070408,0.001990227,0.000688972,0.323614812,39,44.288
bn140523129,0.381677275,0.259540673,0.422389995,0.849277083,0.345065843,0.470905074,23,19.2
bn141022087,1.181714794,2.678613267,0.174527889,1.420285369,1.416056461,0.079256176,199.76,9.216
bn141222298,0.936378304,1.250389556,0.384073179,0.003386954,0.002167487,0.07297875,1.5,2.752
bn150201574,0.247676073,0.252610906,0.865256732,0.083295863,0.07515692,0.263718567,30,15.616
bn150213001,-0.947080672,0,0,0.026781356,0,0,6.5,4.096
bn150314205,0.565723048,0.375064616,0.558741903,0.05470336,0.042050374,0.239278936,12.5,10.688
bn150330828,0.932629859,1.039680692,0,0.011027716,2.78E-17,0.369676562,33.5,153.859
bn150510139,-1.373184135,0.125328652,2.272992124,-0.136584268,0.055334022,1.634827648,38,51.904
bn150627183,-0.105787845,0.056667439,1.307200344,0.238984042,0.234141378,0.347386824,78.5,64.577
bn150819440,-0.637377552,0.145764895,0.960434226,0.502020901,0.49108453,0.989469171,1,0.96
bn150902733,-0.442240655,0.56302054,0.916732037,1.197901314,1.193880129,0.300586903,10,13.568
bn151231443,-0.130835652,1.252004027,1.432553423,0.236915046,0.265447271,1.2589235,73.5,71.425
bn160216801,1.475315585,0.565464836,0.015112859,0.021593861,0.002196578,0.079010435,8.5,7.677
bn160225720,-0.600216866,0.895411491,2.090480089,0.024251705,0.21904943,1.47503292,8.26,70.144
bn160422499,-0.0878758,0.044805087,0.64309982,0.275997536,0.251011554,0.307469467,28.5,12.288
bn160509374,0.537249301,0.536705851,0.848923883,0.040727132,0.036218458,0.418354397,35,369.67
bn160521385,-0.139586488,0.254514101,1.375097791,0.113018403,0.109852121,0.881074694,3,2.816
bn160530667,1.116049482,0.641418717,0.07475035,0.016405785,0.00236846,0.078294561,18.5,9.024
bn160625945,0.362336327,0.845764323,0.237781118,0.010780539,0.005110849,0.099301646,13,453.385
bn160720767,0.073166077,1.573063797,0.92062455,-0.019798663,0.164401775,1.517018134,30,69.889
bn160802259,1.08704869,1.02239463,0.329559183,0.008360006,0.004788117,0.140688408,18.5,16.384
bn160816730,-0.282624847,1.216748589,0.109850939,0.010831109,0.041323522,1.485350169,12,11.072
bn160821857,0.317839739,0.273358771,0.698870165,0.740969209,0.464899006,0.756089014,47,43.009
